Angola,Africa,2006,Wheat,571
Angola,Africa,2007,Wheat,605
Angola,Africa,2008,Wheat,645
Angola,Africa,2009,Wheat,658
Angola,Africa,2010,Wheat,693
Angola,Africa,2011,Wheat,776
Angola,Africa,2012,Wheat,837
Angola,Africa,2013,Wheat,874
Angola,Africa,2006,Rice,117
Angola,Africa,2007,Rice,122
Angola,Africa,2008,Rice,130
Angola,Africa,2009,Rice,138
Angola,Africa,2010,Rice,139
Angola,Africa,2011,Rice,147
Angola,Africa,2012,Rice,182
Angola,Africa,2013,Rice,174
Australia,Oceania,2006,Wheat,1369
Australia,Oceania,2007,Wheat,1439
Australia,Oceania,2008,Wheat,1568
Australia,Oceania,2009,Wheat,1678
Australia,Oceania,2010,Wheat,1649
Australia,Oceania,2011,Wheat,1684
Australia,Oceania,2012,Wheat,1602
Australia,Oceania,2013,Wheat,1645
Australia,Oceania,2006,Rice,206
Australia,Oceania,2007,Rice,210
Australia,Oceania,2008,Rice,247
Australia,Oceania,2009,Rice,251
Australia,Oceania,2010,Rice,260
Australia,Oceania,2011,Rice,248
Australia,Oceania,2012,Rice,243
Australia,Oceania,2013,Rice,258
Brazil,South America,2006,Wheat,9823
Brazil,South America,2007,Wheat,10169
Brazil,South America,2008,Wheat,10285
Brazil,South America,2009,Wheat,10335
Brazil,South America,2010,Wheat,10517
Brazil,South America,2011,Wheat,10528
Brazil,South America,2012,Wheat,10387
Brazil,South America,2013,Wheat,10620
Brazil,South America,2006,Rice,6519
Brazil,South America,2007,Rice,6319
Brazil,South America,2008,Rice,6379
Brazil,South America,2009,Rice,6688
Brazil,South America,2010,Rice,6546
Brazil,South America,2011,Rice,6727
Brazil,South America,2012,Rice,6309
Brazil,South America,2013,Rice,6437
Canada,North America,2006,Wheat,2854
Canada,North America,2007,Wheat,2908
Canada,North America,2008,Wheat,2897
Canada,North America,2009,Wheat,2895
Canada,North America,2010,Wheat,2889
Canada,North America,2011,Wheat,2724
Canada,North America,2012,Wheat,2992
Canada,North America,2013,Wheat,2989
Canada,North America,2006,Rice,293
Canada,North America,2007,Rice,304
Canada,North America,2008,Rice,327
Canada,North America,2009,Rice,310
Canada,North America,2010,Rice,304
Canada,North America,2011,Rice,317
Canada,North America,2012,Rice,316
Canada,North America,2013,Rice,445
China,Asia,2006,Wheat,89687
China,Asia,2007,Wheat,88622
China,Asia,2008,Wheat,86896
China,Asia,2009,Wheat,84339
China,Asia,2010,Wheat,85382
China,Asia,2011,Wheat,86750
China,Asia,2012,Wheat,87212
China,Asia,2013,Wheat,87783
China,Asia,2006,Rice,101234
China,Asia,2007,Rice,101221
China,Asia,2008,Rice,104423
